"family","num.species","percent.dec","percent.inc","percent.nc","percent.na"
"Other",30,13.3333333333333,20,26.6666666666667,40
"Anatidae (Ducks, Geese, and Waterfowl)",28,25,21.4285714285714,17.8571428571429,35.7142857142857
"Passerellidae (New World Sparrows)",13,15.3846153846154,0,30.7692307692308,53.8461538461538
"Accipitridae (Hawks, Eagles, and Kites)",9,0,33.3333333333333,44.4444444444444,22.2222222222222
"Fringillidae (Finches, Euphonias, and Allies)",9,11.1111111111111,33.3333333333333,55.5555555555556,0
"Laridae (Gulls, Terns, and Skimmers)",9,11.1111111111111,11.1111111111111,55.5555555555556,22.2222222222222
"Picidae (Woodpeckers)",9,22.2222222222222,22.2222222222222,0,55.5555555555556
"Icteridae (Troupials and Allies)",6,83.3333333333333,0,0,16.6666666666667
"Parulidae (New World Warblers)",6,0,0,16.6666666666667,83.3333333333333
"Strigidae (Owls)",6,0,16.6666666666667,16.6666666666667,66.6666666666667
"Alcidae (Auks, Murres, and Puffins)",5,20,40,0,40
"Turdidae (Thrushes and Allies)",5,0,0,20,80
"Corvidae (Crows, Jays, and Magpies)",4,75,25,0,0
"Phasianidae (Pheasants, Grouse, and Allies)",4,50,25,0,25
"Scolopacidae (Sandpipers and Allies)",4,25,0,0,75
"Falconidae (Falcons and Caracaras)",3,0,0,0,100
"Gaviidae (Loons)",3,0,66.6666666666667,0,33.3333333333333
"Mimidae (Mockingbirds and Thrashers)",3,33.3333333333333,0,0,66.6666666666667
"Paridae (Tits, Chickadees, and Titmice)",3,66.6666666666667,33.3333333333333,0,0
"Podicipedidae (Grebes)",3,33.3333333333333,33.3333333333333,0,33.3333333333333
