class.name,percent
open water,41.41
evergreen forest,25.99
mixed forest,11.85
woody wetlands,6.31
emergent herbaceous wetlands,2.52
developed low intensity,2.27
developed open space,2.14
deciduous forest,2.05
grassland herbaceous,1.97
shrub scrub,1.37
developed medium intensity,1.28
barren land,0.37
developed high intensity,0.25
pasture hay,0.15
cultivated crops,0.07
water,41.41
forest,39.89
wetlands,8.83
developed,5.95
grassland,1.97
shrub,1.37
barren land,0.37
pasture cropland,0.22
developed low intensity,38.21
developed open space,36.02
developed medium intensity,21.58
developed high intensity,4.2
evergreen forest,65.15
mixed forest,29.71
deciduous forest,5.15
