"Year","NoSpecies","Birds","BirdsPartyHour","PartyHours"
1971,63,6680,445.3334,15
1972,48,4911,245.55,20
1973,52,6509,295.8644,22
1974,56,4743,263.5002,18
1975,53,6826,455.0669,15
1976,44,4134,206.7,20
1977,47,4987,249.35,20
1978,55,8562,356.7504,24
1979,52,6830,267.8426,25.5
1980,61,6699,216.0971,31
1981,53,6162,256.7503,24
1982,56,6483,210.4874,30.8
1983,59,8779,192.9452,45.5
1984,53,4412,200.5457,22
1985,59,9981,475.2861,21
1986,57,7415,197.7334,37.5
1987,54,5086,231.182,22
1988,47,4921,140.5997,35
1989,48,5344,167.0012,32
1990,55,4957,180.255,27.5
1991,50,3018,94.3137,32
1992,56,2994,74.85,40
1993,57,7454,207.0554,36
1994,55,21153,813.5773,26
1995,51,5471,195.3925,28
1996,44,3049,101.6335,30
1997,45,3223,119.3702,27
1998,46,4615,164.8212,28
1999,58,4156,162.9798,25.5
2000,58,4548,206.72728182,22
2001,52,12537,391.7827,32
2002,55,4174,107.0256,39
2003,47,5680,115.9179,49
2004,54,2823,105.5326,26.75
2005,57,7834,313.36,25
2006,50,4269,139.9671,30.5
2007,46,4795,191.8,25
2008,50,6587,199.6056,33
2009,63,8578,300.9828,28.5
2010,66,3003,79.026,38
2011,50,3592,85.0176,42.25
2012,48,2210,63.1428,35
2013,52,3501,89.1978,39.25
2014,51,5382,120.2677,44.75
2015,58,3262,65.437,49.85
2016,59,3461,386.7039,8.95
2017,57,2385,58.5272,40.75
2018,62,3306,85.8699,38.5
2019,60,3391,59.3354,57.15
2020,67,2849,63.3809,44.96
2021,56,2907,71.7781,40.5
